person_id_A,first_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id
f343cef9-cef0-445f-b688-972db2a029ca,dakota,geraghty, 69, maclean street, skeers property, dandenong north, 2529, nsw, 19380417, 31, 03 01783133,6629995
2b5d49ca-06a5-468f-867e-0630bb7222f4,james,colquhoun, 118, conlon crescent, , birkdale, 5043, nsw, 19680112, , 07 14327140,5350518
fabd142c-9269-4f52-9899-3a82cccfe9e8,ruby,butt, 103, , wollartukkee, east fremantle, 4814, wa, 19430120, 30, 02 88839517,3225206
1f719d2e-c842-49c0-ade9-c265f70288ae,marcus,rees, 5, charlick place, lindoran, ballarat, 4216, nsw, , 27, 08 17239266,7355062
7859d4fb-04fc-46fd-aa0f-5955603d35d9,jassim,belperio, 36, john russell circuit, , eastwood, 3131, nsw, 19460129, 20, 02 61510457,9190750
636f931b-c09a-4948-b2c1-440fabd34842,danika,tomadini, 43, flower place, calimo east cottge, kedron, 3300, nsw, 19860809, 29, 02 06954208,1748341
5af78115-a018-4146-bccd-9e5ba7228b9a,jesse,white, 15, moore street, , dunalley, 2756, vic, 19060612, 33, 03 02246434,4425771
2a51abc8-d2a8-4039-a81d-ffbdda649784,timothy,nguyen, 38, bavin street, , merbein south, 4012, vic, 19780113, 12, 02 12690148,4883769
a943f22f-662c-463e-bbb4-1c2a5356a4cb,logan,paterson, 235, warland place, , kingaroy, 0822, wa, 19550704, 9, 07 46198099,4177164
f56e7345-85c4-4b62-8aab-2639b18e5152,lacey,dixon, 4, skinner street, , kilmore, 2460, nsw, 19280615, 40, 03 02216573,2731703
4544c89f-fefb-449f-a120-323a25aee3c4,jamie,dixon, 222, roe street, glenmore, birkdale, 3037, wa, 19270829, 24, 07 24118763,7039484
613333aa-a61c-465d-b528-d899925e0d6f,liam,reid, 1, beauchamp street, , mermaid waters, 4017, qld, 19970927, 29, 02 63525166,9956897
8fb8e25a-6041-4596-8448-89c88a6b537c,,byers, 29, lindrum crescent, , ballina, 3139, nsw, 19580629, 30, 02 19410711,3417483
805f5d07-042e-4b13-a904-34a9b91d29a6,holly,berry, 52, rivers street, bonny doon, warrane, 2257, nsw, 19221111, 31, 02 77930470,4969189
2228d9bd-c786-4d0d-9043-19b4853be084,jacob,ottewell, 4, , , albany creek, 4802, nsw, 19790320, , 03 05345866,6964138
f7acb142-d669-4385-9eb2-495029d98ae1,annalise,tadege, 8, , , granville, 7008, nsw, 19050818, , 02 03416737,1512774
a259ae04-9054-47df-88a9-fed409dcef34,jasper,green, 83, baylis place, merrijig, balla, 2148, wa, 19350516, , 02 98752183,1830591
8b196e67-4f34-4acc-9810-2269c50069db,sarah,white, 41, clement place, paramatta park, , 6160, qld, 19491207, 30, 02 44356395,6676723
5982657e-b3d5-45fd-a79c-14bb57cc486e,jaiden,lock, 34, turriff street, opal cove resort, northwood, 2440, qld, 19800704, 23, 02 15878556,9544033
2e6d4fa0-2934-48d0-8f02-ea98f77f641c,riley,le messurier, 17, percy crescent, fairway, bundaberg, 3049, wa, 19430819, 34, 04 15874440,9211390
f54ec28b-f675-4b07-9352-58f3134e1d2d,lucy,nguyen, 6, templeton street, kangaroo grnd, lawrence, 2145, wa, 19370616, , 04 48502298,5657238
