person_id_B,first_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id
49bf7b37-c6af-41c8-91d7-5eb64c496a6c,charlotte,leukg, 301, domain street, locn 1699, alma bay, 2710, vic, , 29, 07 05109263,6356142
304b9d58-b06a-4d1c-970b-020e81efd1ff,callie,heerscgap, 23, dudi lzce, , mill park, 2324, tas, 19820623, 9, 02 82637596,6775114
c080c996-dbef-4ec8-aa0d-0150629cd367,alanx,nguyen, 6, callaghan street, , albury, 4575, nsw, 19220115, 27, 08 82171717,5275665
1c1d7e32-a925-47ab-9fa2-d6fe95f87de6,willjam,dud, 83, purbrick street, glenveagh, muttabrra, 6100, , 19871212, 23, 07 54557966,7073899
80ea777d-6088-4d82-b839-2b566091d61a,lucy,baillie, 34, hurley street, , glen iqnnes, 5038, sa, 19310448, , 08 19431835,6880723
ab77c94d-bab3-4eb3-a2fb-34fa844353f2,noaj,gehlken, 5, bennelong clrdscent, , port douglas, 0810, qld, 19040920, 36, 07 01462209,1131269
96c010cb-21ac-450c-a89c-9935b282908d,wadw,grosser, 5, groom street, , brunswick west, 3142, viq, 19080131, 31, 04 00735146,5831353
d4c9cd84-1447-4729-afad-13937d9c6999,gianni,noble, 2474, mcgowan street, , korbelka, 4157, sa, 19840612, 32, 03 96802289,1065757
ab8e334f-7352-4809-a881-7a8d44c6dfdf,caleb,ryan, 634, hopetounv ircuit, water fall, young, 2443, , 19430611, 29, 08 19915225,2521468
7e8f0186-c56f-47c5-90f5-c0361796a549,danyw,turale, 391, wanliss street, peridon vlge, dromana, 6021, nsw, 19321031, 34, 02 56068722,6206026
a5c86771-89c7-4918-b46d-f0a8eacf7d83,jack,paterson, 50, lazarus place, , burpemga ry, 3850, , 19441012, , 03 89132705,7115624
21a70b31-daae-4fc4-aa53-f9dc714954b7,godfrey,bethany, 65, osburn drive, unt 2, croydonnorth, 2539, vic, 19581004, 30, 07 00225671,9067801
27df5102-cd60-484b-a40c-455c2660c01e,makayla,brovdk, 41, quiros steet, emerald garden, coolah, 2263, nsw, 19451115, 30, 07 87234552,7573307
98482234-fa7e-417d-94c8-8f7619068370,claudia,clarjef, 10, barclay street, , yarraville, 4568, nsw, 19890102, , 07 21238827,1506556
05e8388c-bfa9-4529-bccf-ee97cc181be2,marled,hutcheson, 70, carslaw treet, , warracknabeal, 2753, nsw, 19920803, , 02 09111299,9053644
b70eaaf5-a63b-4a50-bdac-d5086a9dbeb3,logaf,miliaao, 50, parker street, , nedlands, 4017, qld, 19470821, 02, 04 89827222,9347956
7982712e-d008-45d5-bb93-107f9243cfea,kan,webb, 13, altson circuit, , surfers paradise, 3977, nsw, , 32, 07 98167137,5885817
7f171dbd-9a9a-4714-96e3-e0c44279ab66,eckk,greenhalgh, 23, , , scarborough, 3824, nsw, , 28, 08 13939951,9898347
d797263e-9720-4788-a654-6d94214ad102,ellent,gazzola, , banner street, , south perth, 2140, qld, 19170310, 30, 03 61353746,3796245
205f6071-545d-4e8c-a7ae-ea7dfc18b77b,tomasz,highet, 18, , brindabella specialist centre, north sydney, 2217, wa, 19841125, 33, 03 53724723,1967122
5f4f56ad-32fd-417d-a159-edf68edaa9b2,matthw,spicer, 24, wyselaskie circuit, , albudy, 2278, qld, , 26, 03 53701884,2269962
d34ef3d1-0f12-4ee4-b7fb-d6bdfd04e3a5,braedon,felmingham, 85, mcmillan crescent, boonawah, wingham, 2483, vicx, 19810619, 35, 08 26587525,7813080
80db8ce7-4276-440c-9c8a-fe474aa5e27d,joshua,samprathi, 14, damalatreet, , burleigh heads, 2902, qld, 19260804, , 04 23144782,4495389
7fb3f001-37fc-4b2e-8d12-01403636e044,ektoh,nguyen, 19, lupus place, , sylvania, 2770, vic, 19760701, 28, 03 11099580,4980362
ea418e36-3615-444b-8dda-f9e81108fed6,emily,petersef, 15, tarrant crescent, , cundletown, 3101, nsw, 19640311, 32, 08 83536447,9777677
3a8615a5-055c-4e07-8192-ee06ff48ea2d,,purdon, 435, antill ztreet, burramunda, karela, 4570, qld, 19951230, 9, 08 53960155,1892856
bcd4a30e-e141-4005-ba48-221f4f796be5,tommip,lodge, 231, hansen circuit, , hawthorn, 2566, wa, 19510401, 24, 03 30518131,5138159
bcfd6152-dabd-4ddd-853f-1f41bd8f2283,,bisahop, 429, perrin circuit, , eastern heights, 6104, vic, 19644016, 30, 08 03262102,5869798
56f6bd5c-3ec2-4be8-990a-f0c5710cf7da,stephanie,, 84, , owendale, para hills west, 6149, nsw, 19970602, 12, 08 82171282,4865172
e79efb6d-122b-4951-8069-720ac0b96ed2,maria,clarke, 46, karrugang circuit, moondah, eagle heights, 6172, nswj, 19940318, 35, 08 62552640,3454239
34abe4b8-d43a-4e3b-bf9a-6a9f731c2e8c,charoie,reid, 28, woolnough street, willow trre villa, st kilda east, , sa, 19280015, 33, ,9691027
9af57c05-9926-4d37-b8d0-744a37e0c548,raqxuel,tuft, 32, windradyne street, rosehill, beeliar, 2480, ws, 19091906, , 08 17149475,4607386
fa109a71-051a-444c-9fa5-16f8c7146980,elizabeth,dent, 1276, seaver street, ra 881, green head, 3870, qld, 19100312, 34, ,2126498
7a52bad7-ceed-437f-9b30-8678a8e4061f,matthew,quza, 6, fawkner street, , sael, 5082, qlc, 19051209, 38, 03 10058094,1854690
a4699acd-609c-448f-a808-6fcaefa7198a,madeline,mcgregr, 18, upton street, rowethorpe, prospec, 2809, act, 19611123, 26, 02 70021826,1744338
abffec9c-5f32-4768-ac3f-03755f979bc9,,wesley-mmith, 18, gudgenby close, , balhnmah, 2131, , 19731129, , 03 53614388,7746178
cfd1dcca-ea4b-4669-a3aa-7d37845a4a8a,viaxa,kalmus, 18, bage place, rosemount, oakleigh, 6097, act, 19780107, 29, 02 53485255,6724223
5f7dbe29-e1c8-4ba0-93b0-941370b2823f,bosi,annabelle, 1, tauss place, busselton holiday village, strathalbyn, 3143, vid, 19681015, 27, 07 88976894,3179693
b40dec8b-fa26-431b-b903-629c6f67a204,sarah,waners, 6, jim avenue pike, , thirroul, 7205, qld, 19470105, 23, 07 19241065,7858789
9ce5e14e-79d4-41ba-afe7-2887b0282be2,rubie,hiltoh, 100, gilruth street, , noble park north, 2360, sa, 19360222, 31, 08 85365984,4304596
0e86c484-8bcd-4ed5-8fc1-47e73f567e27,wang,jack, 89, beasley street, , mitcham, 3148, wa, 19040823, 34, 02 95238746,2665932
318998d3-0833-45ed-9583-a53fb64d8d9d,hammill,lachlan, 65, beattie crescent, , windsor, 4305, vic, 19480311, 25, 04 06079647,1739238
2806f49b-0f6a-4191-934a-5bce2e952160,ryan,benirr, 33, lachlan street, villa 2, slacks creek, 4715, nsw, 19580213, 26, 07 91575107,9383879
55167744-731e-4690-9f50-1fa69ce7a1a9,mitchxll,ngu hen, 124, hardie close, , kotara, 2113, sa, 19061101, , 04 62766261,4629996
eb77b9d2-d737-4cb1-88e0-39e5493d3b1a,bailey,whitw, 8, dawsonzstreet, , caves veach, 3151, wa, 19561213, 23, 04 74626870,4435471
07c7d1f1-c162-491a-8258-1be37bc8d1d8,lue,fawkner, 11, totterdell street, aranmor, north sydney, 2763, nsw, 19040129, , ,1486555
f4ac0d58-c3b2-4852-876b-ea81206eccc6,emiila,slape, 13, baldwin drive, alpine vineyards, buddina, 4011, wa, 19740721, 24, 07 60972274,6113846
f3476b67-9850-44ec-a65e-c19b3c390d64,carly,jollb, 47, clare dennis avenue, , boronia heights, 2011, nss, 19430310, 25, 03 43552256,2548389
d1340a88-df31-46aa-b8b2-84b12c86ebd2,kaitlin,koziol, 20, buderim place, , nambour, 2086, nsw, , 31, 02 72996309,8023398
eef83f9f-19b2-46b6-8a9a-f4252397d52f,jakn,rankine, 90, joske place, marina one, labrador, 5152, qld, 19270727, , 07 95909816,4829171
b91c015d-226a-43a3-909a-1d0d881e1a40,lawsob,han qa, 59, burnie street, meadowvale village, , 2018, sa, , 32, 08 35744781,4189180
82ddf57c-48da-4ea1-a314-b31710e3d570,joeo,, 1, rehfisch close, , cowra, 3032, vic, 19350119, 32, 04 49876944,6502810
760e13ee-e47d-4767-9371-8e604c5f9692,karissa,gaskin, 22, spiers place, , green hills, 7261, nsw, 19010138, 25, 07 80683252,7319205
396cc3b7-dd1d-4773-a00e-f08e2423e98f,kye,mac crostt, 34, annear place, , berwixk, 4214, nsw, 19260805, , 04 63593672,8303864
