rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-3714-dup-0, charlotte, leukg, 301, domain street, locn 1699, alma bay, 2710, vic, , 29, 07 05109263, 6356142, 2
rec-3675-dup-0, callie, heerscgap, 23, dudi lzce, , mill park, 2324, tas, 19820623, 9, 02 82637596, 6775114, 6
rec-3399-dup-0, alanx, nguyen, 6, callaghan street, , albury, 4575, nsw, 19220115, 27, 08 82171717, 5275665, 6
rec-298-org,   dakota, geraghty, 69, maclean street, skeers property, dandenong north, 2529, nsw, 19380417, 31, 03 01783133, 6629995, 7
rec-240-org,   james, colquhoun, 118, conlon crescent, , birkdale, 5043, nsw, 19680112, , 07 14327140, 5350518, 1
rec-4105-org,   ruby, butt, 103, , wollartukkee, east fremantle, 4814, wa, 19430120, 30, 02 88839517, 3225206, 0
rec-1695-org,   marcus, rees, 5, charlick place, lindoran, ballarat, 4216, nsw, , 27, 08 17239266, 7355062, 7
rec-2725-org,   jassim, belperio, 36, john russell circuit, , eastwood, 3131, nsw, 19460129, 20, 02 61510457, 9190750, 3
rec-3236-dup-0, willjam, dud, 83, purbrick street, glenveagh, muttabrra, 6100, , 19871212, 23, 07 54557966, 7073899, 1
rec-852-org,   danika, tomadini, 43, flower place, calimo east cottge, kedron, 3300, nsw, 19860809, 29, 02 06954208, 1748341, 2
rec-3583-org,   jesse, white, 15, moore street, , dunalley, 2756, vic, 19060612, 33, 03 02246434, 4425771, 4
rec-1926-dup-0, lucy, baillie, 34, hurley street, , glen iqnnes, 5038, sa, 19310448, , 08 19431835, 6880723, 9
rec-2135-org,   timothy, nguyen, 38, bavin street, , merbein south, 4012, vic, 19780113, 12, 02 12690148, 4883769, 9
rec-2170-dup-0, noaj, gehlken, 5, bennelong clrdscent, , port douglas, 0810, qld, 19040920, 36, 07 01462209, 1131269, 6
rec-1469-org,   logan, paterson, 235, warland place, , kingaroy, 0822, wa, 19550704, 9, 07 46198099, 4177164, 5
rec-4552-org,   lacey, dixon, 4, skinner street, , kilmore, 2460, nsw, 19280615, 40, 03 02216573, 2731703, 8
rec-2346-dup-0, wadw, grosser, 5, groom street, , brunswick west, 3142, viq, 19080131, 31, 04 00735146, 5831353, 7
rec-2313-org,   jamie, dixon, 222, roe street, glenmore, birkdale, 3037, wa, 19270829, 24, 07 24118763, 7039484, 6
rec-3875-org,   liam, reid, 1, beauchamp street, , mermaid waters, 4017, qld, 19970927, 29, 02 63525166, 9956897, 6
rec-3512-org,   , byers, 29, lindrum crescent, , ballina, 3139, nsw, 19580629, 30, 02 19410711, 3417483, 0
rec-737-org,   holly, berry, 52, rivers street, bonny doon, warrane, 2257, nsw, 19221111, 31, 02 77930470, 4969189, 0
rec-3985-org,   jacob, ottewell, 4, , , albany creek, 4802, nsw, 19790320, , 03 05345866, 6964138, 5
rec-2009-dup-0, gianni, noble, 2474, mcgowan street, , korbelka, 4157, sa, 19840612, 32, 03 96802289, 1065757, 7
rec-2655-org,   annalise, tadege, 8, , , granville, 7008, nsw, 19050818, , 02 03416737, 1512774, 9
rec-4199-org,   jasper, green, 83, baylis place, merrijig, balla, 2148, wa, 19350516, , 02 98752183, 1830591, 4
rec-981-dup-0, caleb, ryan, 634, hopetounv ircuit, water fall, young, 2443, , 19430611, 29, 08 19915225, 2521468, 7
rec-377-dup-0, danyw, turale, 391, wanliss street, peridon vlge, dromana, 6021, nsw, 19321031, 34, 02 56068722, 6206026, 2
