person_id_A,first_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id
bc0278b7-af26-4e3f-8f78-827aaec9af6d,james,pozniak, 26, grampians street, adventist retirement village, aldgate, 6107, , 19580508, 24, 02 46727510,4833348
647a0c87-edf4-4bec-8a84-fa6f174f80fe,luke,lowe, 1, hannan crescent, brentwood vlge, kirra, 2019, vic, 19410930, 29, 04 81583065,3227135
c364e83b-788b-43cb-bf58-2f148837948c,adriana,, 16, studley street, nautical vlg, point lonsdale, 2141, nsw, 19710523, 9, 04 99341539,1457864
475c260e-6ff6-46ae-89e7-d58bfcd2d00d,nicholas,green, 74, ashburner street, , blackall, 3300, nsw, 19990902, 8, 08 04073129,4814210
5091ac1a-549a-4147-be1c-2f9428534114,sean,is, 36, florence taylor street, adventist retrmnt vlge, alligator creek, 2170, nsw, 19741026, 34, 08 80470633,3695859
1298ad7e-7c0e-424a-9109-97dd90803634,april,rapson, 14, geeves court, raaf, forestdale, 3040, act, 19231103, 26, 02 15734004,7989576
717dbe51-db69-44e6-931e-626f83dc5a5e,joshua,maynard, 24, scarborough street, st vincents medical centre, lavington, 7310, nsw, 19500818, 22, 02 80542471,6082347
7e372fb1-ef1f-4be7-8214-a56718ff54c2,beau,toseland, , millard place, , nicholls, 3178, sa, , 25, 03 64908923,6087565
84ec1478-6b7f-4944-a08c-2fa87967fe58,jasper,collier, 5, rienits place, , st albans, 2026, nsw, , 24, 07 60611123,5008119
67433d18-c122-4ad6-95f9-179fe075ae4f,jesse,coatsworth, 18, kinsella street, , taree, 3028, nsw, 19770329, 31, 03 05792988,8945502
e8671914-8199-48d0-9749-4aa1894209ae,,dixon, 13, doherty place, old post office, valentine, 3796, wa, 19731020, 28, 02 51865979,1372387
67672ea4-05af-41c2-84ac-173381a53a0b,jack,green, 40, , oakdene, greenwith, 7275, qld, 19541009, 35, 07 65774698,2571524
036ecd69-2779-43ae-b1d8-706209c0772a,kirra,tweedie, 27, rollston street, , cooranbong, 4615, nsw, , , 03 33663610,3183990
3eca387d-f7df-4589-8d7e-fbf31a008eab,maria,dixon, 21, dooring street, , werrington, 3153, act, 19871130, 25, 02 94431433,5692994
981b7a0e-816c-4458-9cd0-68eee96680de,kieren,lowe, 14, , , coolum beach, 2485, nsw, 19410506, , 07 14911084,1847843
6e91795c-9917-4a46-9754-eeb040ec5b7f,isabelle,coleman, 127, strzelecki crescent, patawilga, kinglake, 6028, nsw, 19710309, 23, 02 11599853,4057669
97071d1a-755e-435a-9d7e-db606531cf40,madeline,harrer, 23, huelin circuit, , calista, 4069, wa, 19770321, 27, 03 97329621,5697844
bfbefd3e-2381-4292-a3c0-9dab9c7066f6,olivia,quill, 25, mcarthur place, roseleigh farms, north curl curl, 3200, nsw, 19780801, 31, 02 18164797,6496220
bca7bace-f2f0-42a9-b34f-45697c28d9e0,sophie,, 62, bandjalong crescent, , dandenong north, 2167, nsw, 19160605, 27, 02 26736643,8873346
ff8420b1-d7a0-4ade-95c8-4e4910fe4bb4,ethan,boyle, 76, ranken place, , port elliot, 4551, vic, 19760507, 35, 08 21059318,7384292
6a2b5f77-b412-471b-8c53-7ba1ff6812ec,william,matthews, 119, crowder circuit, thomas scott village, normanton, 2222, vic, 19410125, 30, 07 95405393,8246386
fe803093-f806-4352-bb25-f2c25399a340,thomas,blake, 29, griffiths street, , brunswick west, 5089, sa, 19940516, , 07 55360283,8839624
fcfa36ff-a16e-4055-b362-399c2ea10a00,riley,bellchambers, 10, beirne street, , melville, 4655, qld, 19810312, 27, ,5354911
30f7e8e2-f62b-4d2e-85d5-c9d4ac83741f,ruby,white, 8, stonehaven crescent, , coolongolook, 2650, qld, 19030126, , 07 79942530,9668817
afbaeb51-2c46-46db-bc36-ae3e168e521b,hannah,rees, 10, , terrara, banyo, 2753, nsw, 19261023, 31, 02 47085339,7567908
cb4b2bf9-9220-4091-9a63-b95f734d5bc6,braedon,leslie, 158, kingscote crescent, big oakey, oakleigh, 6155, nsw, 19521208, , 03 32112749,4635553
6229e47a-82ba-4d63-9570-5794de677ed1,erin,vincent, 8, rivett street, greenswylde, arundel, 3103, nsw, 19390816, 37, 03 21888575,2888550
776f115a-9b40-4ecd-9531-979bec3ad08f,eleni,martinello, 8, burdett crescent, kilvinton village, thirroul, 4814, sa, 19760330, , 08 85411898,3359629
54df5901-ed7b-406c-b581-04aa81a2a444,joshua,zilm, 36, thozet place, gogulger stock, ulverstone, 6061, qld, 19611205, 32, 03 95022445,7458696
fce5b35d-039c-4d63-bd79-4b1cfb8fcb85,isabella,petersen, 8, ern florence crescent, , kariong, 4218, nsw, , 36, 02 66363547,1833716
