rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-693-dup-0, jacroen, ryan, 38, port jackson circuit, , gruyere, 3065, nsw, 19708039, 30, 08 34095560, 5817669, 0
rec-979-dup-0, chelsea, caruzno, 41, vrescentgfsirntree, , rothwell, 3223, nsw, 19850616, , 04 56501282, 5484462, 3
rec-1569-dup-0, ethan, ranssn, 293, kinalung place, , canley heights, 2580, qld, 19670901, 33, 07 01212904, 5038287, 3
rec-1026-dup-0, jackson, stanfierd, 100, officer crescent, , pymble, 6059, qld, , 26, 08 94648770, 5737580, 2
rec-499-org,   alison, astley, 70, couchman crescent, , swan hill, 4558, act, , 21, 03 67933166, 7448475, 1
rec-946-org,   ridley, leszczynski, 17, oliver street, , goodna, 3350, nsw, 19740211, 36, 02 83051596, 7298421, 7
rec-1405-dup-0, henry, , 3, , , oonoonba, 3170, , 19540129, 25, , 9712883, 2
rec-1864-org,   hayley, reuter, 25, burn street, , cranbourne, 4557, vic, , , 07 94864512, 3206471, 6
rec-47-org,   lachlan, rawlings, 80, lochbuy street, , artarmon, 2257, sa, 19831102, 37, 07 41891987, 3956754, 3
rec-411-dup-0, heathr, matthews, 234, rosebery street, , crows nest, 2516, qld, 19449605, 26, 04 14792920, 3276884, 1
rec-570-org,   harrison, clarke, 19, marconi crescent, belmont park belted galloway stud, panorama, 3147, vic, 19460518, 27, 08 33940827, 5737989, 0
rec-1334-dup-0, katd, jessup, 12, tungunzreet, , beaumaris, 4516, sa, 19741030, , 04 52452912, 8902356, 7
rec-346-dup-0, liam, varcoe, 556, , , glenmoeypark, 2236, vid, 19410403, 37, 02 73831790, 4066677, 3
rec-985-dup-0, natalia, nevile, 23, vlose apperly, , ross creek, 2286, vic, , 25, 03 38485317, 3931525, 3
rec-1564-org,   abby, wintrop, 29, simson place, mt pleasant, young, 5244, qld, 19960304, 24, 04 08473519, 4460377, 7
rec-1110-org,   emiily, nye, 10, tregellas crescent, , glenden, 3805, nsw, 19481121, , 04 47173684, 9807267, 2
rec-376-dup-0, william, white, 9, , , natimuk, 6135, nt, 19960716, 27, 08 10359476, 7144300, 3
rec-467-org,   riley, kramsamy, 16, maxworthy street, , freshwater, 2478, , 19890812, 31, 08 83867838, 9256404, 9
rec-1136-org,   luke, petersen, 40, jemalong street, , balranald, 2147, qld, 19850301, 28, 02 90719913, 1486529, 0
rec-1867-org,   william, robson, 7, ern florence crescent, , nunawading, 3128, vic, 19190210, 28, 02 38753859, 9193514, 9
rec-1933-org,   finnbar, ryan, 25, prichard circuit, east road, glossop, 3037, wa, , 27, 08 08614121, 2440807, 8
rec-963-dup-0, indiana, clafpihe, 10, melba sffeet, , tannum sands, 3225, vic, 19680416, 29, 02 52815723, 3361518, 1
rec-1197-dup-0, shona, jeffrods, 310, , , labrador, 2155, wf, 19531228, 49, 02 51248898, 1549319, 9
rec-23-org,   jack, stephenson, 2, galloway street, , st kilda east, 4207, vic, 19330730, 9, 04 45952602, 3444860, 9
rec-566-org,   bailey, andresen, 79, goldner circuit, stoney station, currambine, 2429, nsw, 19100326, , 07 33386196, 5919144, 0
rec-1357-org,   samuel, flannery, 47, deamer crescent, , cedar vale, 2257, nsw, 19250131, 35, 02 45191384, 6714058, 9
rec-1572-org,   isabelle, lambert-smith, 1, jondol place, , nedlands, 4035, nsw, 19970818, , 02 83414531, 5435290, 0
rec-1568-dup-0, taa, eglinton, 8, juwin sjtreet, , ellenbrook, 4556, vic, 19033706, 7, 03 81121512, 3723625, 8
rec-983-org,   jared, pendle, 11, barwick place, old cob, brighton, 2539, wa, 19220326, , 08 58820430, 3302093, 2
rec-1961-org,   lachlan, robson, 1428, karuah street, , goshen, 5017, sa, 19840105, , 07 90568356, 2867008, 4
rec-822-dup-0, charllfe, knowking, 199, janarozolace, , oyster bay, 4184, nsw, 19100905, 35, 02 92605535, 6861998, 6
rec-164-org,   joshua, white, 21, collier street, , bundanoon, 2541, , 19180919, 20, 07 29549426, 8877471, 2
rec-1938-dup-0, jarrod, buhtgsiar, 139, quick street, , exmouth, 3350, , 19210822, 32, 07 62334466, 4007336, 9
rec-941-org,   bailey, blake, 466, galleghan circuit, , boddington, 3056, vic, 19381220, 40, , 6410745, 8
rec-1369-dup-0, kimbrekey, renfrey, 9, , , wahroonah, 6026, cic, , 26, 08 86761213, 2362235, 8
rec-1993-dup-0, keeley, mason, 92, barlow sgreet, , baupld, 3690, nsw, 19030608, 25, 07 17048331, 7454817, 3
rec-1233-dup-0, gabrielle, kilmarqtlin, 1, athertonostreet, coaake, dalby, 2566, nsw, 19800604, 27, , 2065209, 5
rec-1552-org,   aaron, lukehurst, 55, , , rye, 4825, nsw, 19821203, 11, 04 47243806, 5824745, 5
rec-1438-dup-0, mathtew, quilty, 7071, loxtonjplace, , greemwaith, 3875, vic, 19410305, , 02 77948193, 7563142, 9
rec-1537-org,   emiily, gillis, 73, melba street, arton vlge, ruse, 4680, qld, 19250827, , 08 30869652, 4374012, 9
rec-1782-dup-0, cooper, d'abate, 93, sparkes close, , sandy bay, 2213, vicm, 19990715, , 08 72324047, 5134000, 4
rec-1657-dup-0, daniel, everett, 19, , villa 36 sovereign garden, scarborough, 2280, qle, , 28, 03 91885166, 6414865, 3
rec-120-dup-0, , tienjes, 13, street young, millrisge, silverwater, 2070, qld, 19715861, 34, 08 73769368, 7409015, 9
rec-1445-org,   jack, lionis, 10, chifley shopping centre, north hill medical centre, sandgate, 3189, vic, 19491009, 25, 08 00146572, 2324253, 6
rec-1143-dup-0, james, bradshhaw, 25, swanton street, , mount pleaant, 2823, nsws, , 34, 02 02835253, 4745029, 5
rec-428-org,   callum, dinh, 66, , resthaven retire, sadleir, 2113, vic, 19530123, 38, 07 25612883, 5102990, 5
rec-1823-org,   eva, van boekel, 21, wyles place, , east fremantle, 2541, vic, 19610119, 20, 08 06059337, 8992711, 7
rec-504-dup-0, fraear, benjakin, 39, drysdalekcfcuit, , hinchihbook, 6308, nsw, 19900602, 33, 07 55406713, 8299391, 9
rec-652-org,   danielle, kempton, 58, kennedy street, , park holme, , nsw, 19990224, 28, , 1527127, 1
rec-560-dup-0, sara, , 31, windeyerhcourt, heatherdale, black rock, 3016, qld, , 28, 03 56941902, 7796410, 5
rec-74-dup-0, schkirra, waller, , crescentvnigley, , eatmonb, 4068, , 19350114, 9, , 8847625, 7
rec-1046-dup-0, , semb, 1, leane street, , laverton, 5127, , 19390518, 12, 08 80951000, 6812945, 8
rec-936-dup-0, tarah, burfor, 47, heagney crescent, melaleuca, winthrop, 6030, nsw, 19170881, , 04 62711624, 4424094, 2
rec-904-org,   cameron, coleman, 129, smeaton circuit, barnet brae, camden south, 2579, tas, , 34, 08 72130700, 8215454, 9
rec-1986-dup-0, jol, green, , port jacksowh circuit, emerald garden, carnegie, 2031, vic, 19660216, 32, 08 21982133, 7633065, 8
rec-1456-org,   rhys, shady, 35, fiaschi street, , acton, 2620, vic, 19750102, , 07 20408839, 2013200, 9
rec-1944-org,   olivia, boyle, 49, , ridgepoint, mosman, 2506, , 19930114, , 04 23983833, 5681446, 6
rec-1069-org,   mia, vandenbosch, 48, bacchus circuit, henry kendall hostel, south melbourne, 2115, vic, 19581001, 25, 02 62804992, 7580757, 5
rec-1468-org,   george, eglinton, 14, o'loghlen street, , bowral, 2232, , 19050305, 31, 07 42813950, 4173756, 5
rec-1901-org,   ruby, hanks, 29, sexton street, , east melbourne, 2049, wa, , 9, 02 34264929, 2785555, 4
rec-595-dup-0, alex, fitzpatrick, 19, phillipkplace, bodyworks healing centre, shoalahveb head, 7018, , 19940104, 34, 03 27591399, 8590970, 6
rec-953-org,   megan, econompoulos, 55, beazley crescent, , warnbro, 2665, vic, 19020123, 22, 04 44000738, 2785100, 2
rec-453-org,   emiily, ten brummelaar, 37, , , albion park, 6110, vic, , 28, 04 92316728, 7469679, 2
rec-747-org,   oliver, marlow, 4, ashkanasy crescent, , smiths lake, 6244, nsw, 19510307, 32, 02 78177479, 8534375, 1
rec-906-dup-0, samuel, wa, 16, twamley frgdcent, , taringa, 6150, vic, 19280016, 26, 03 20178524, 8659930, 5
rec-1096-dup-0, trimbell, alexf, 1, , , swan hill, 6025, nsw, 19310081, 20, 07 82275948, 1055441, 9
rec-143-dup-0, nicholas, reid, 7, dominion circuit, , mount eelyn, 2929, wa, 19592126, , 04 60066353, 4849183, 4
rec-480-dup-0, benjamin, keoh, 19, ivo whittojm xircuit, frogs gully, bull creek, 2245, nsw, 19870129, 24, 08 75039473, 2239075, 9
rec-1628-org,   nicholas, egan, 72, strangways street, , surry hills, 4816, qld, 19060831, 24, 07 66818192, 3042042, 2
rec-919-dup-0, phoene, reid, 35, owen cmvcent, , rushwoth, 4814, qld, , 33, 08 18543342, 2066411, 5
rec-764-dup-0, hannah, kerleh, 103, latchf ohvq street, , miami, 2756, wa, 19240129, 23, 04 57630213, 6230709, 2
rec-1183-dup-0, edward, doody, 11, , , albury, 5136, nsw, , 12, 02 07039845, 2697748, 2
rec-1091-org,   charlie, schumann, 3, narryer close, heidsvale, braidwood, 3199, tas, 19210312, , 03 29894113, 8682452, 4
rec-363-org,   jacqueline, haverfield, 92, gunn street, glenvilla caravn park, leyburn, 4074, nsw, , 39, 08 15801757, 8820867, 2
rec-1087-org,   cameron, mayer, 21, fremantle drive, , toowoomba, 6007, nsw, 19790503, 27, 07 89494023, 5925490, 3
rec-1019-dup-0, arpkx, valdivia, 3, lind clpse, , westmead, 2774, sa, 19771114, 10, 02 74981917, 1445670, 7
rec-591-org,   danielle, paterson, 57, bannister garden, , wattle park, 6066, qld, 19060409, 26, 07 87002496, 5161281, 9
rec-1694-org,   ryan, morrison, 85, burdekin avenue, the palms village, stretton, 4211, nsw, , 33, 02 64463271, 8592894, 4
rec-1157-dup-0, ek, reid, 4, collierwstreet, , andergrove, 3163, vic, 19920616, 27, 08 25602478, 5288193, 5
rec-1600-dup-0, trey, white, 137, gillesp kstreet, , holdsworthy, 2036, vic, 19285239, 31, 02 88782276, 8531425, 3
rec-49-dup-0, william, clrsi, 40, oliver street, , mackay north, 3175, qld, 19200402, 31, 04 72567967, 7719257, 5
rec-426-org,   amy, berry, 9, sampson close, , dungog, 6026, vic, 19710203, , 08 67459920, 2837416, 2
rec-1993-org,   keeley, mason, 52, barlow street, , bauple, 3690, nsw, 19030608, 25, 07 17048331, 7454174, 3
rec-628-org,   mason, laing, 12, santalum street, , hamilton, 4054, vic, 19730114, , 07 77115719, 3716494, 2
rec-1163-dup-0, hary, cattigan, 9, bamir square, , murray bridge, 2167, vic, 19540905, 32, 08 05499279, 1114655, 8
rec-408-org,   sophie, trowse, 14, bean crescent, , williamstown, 3057, vic, 19330406, 28, 07 35525398, 8839304, 2
rec-109-dup-0, howis, naomk, 17, adamson crescent, west bank, mullumbimby, , tas, 19670116, 85, 03 82494496, 9388523, 0
rec-942-org,   brock, leslie, 38, brereton street, , corlette, 3190, , 19130124, 28, 04 64026283, 6086628, 0
rec-1108-dup-0, alava, puper, 1, hakea crescent, , greenfield park, 6009, qld, 19210809, 30, 08 34475214, 2820918, 7
rec-1461-org,   scott, spalvins, 23, streeton drive, palm lake resort, morwell, 2456, nsw, 19311110, 36, 02 37123530, 9630525, 7
rec-1441-dup-0, ana, , 186, crichton crescent, , , 2432, sa, 19780832, 23, 04 96077328, 6686212, 2
rec-463-org,   zali, marshman, 30, beasley street, , lawrence, 2261, , 19220112, 22, 07 81215397, 5488826, 6
rec-1410-org,   jessica, mason, 18, roebuck street, minora, thornleigh, 4702, vic, 19181224, , 02 64532035, 5218687, 5
rec-260-org,   benjamin, priest, 72, stobie place, , cremorne, 2330, , 19820316, 27, 02 38227898, 6917333, 9
rec-346-org,   liam, varcoe, 556, , , glenmore park, 2534, vic, 19410403, 37, 02 73831790, 4066667, 3
rec-417-dup-0, , passmore, 15, , , dawesclalle, 6210, vi, , 13, 02 92163052, 8977173, 7
rec-46-org,   keziah, mesecke, 82, douglas place, brentwood vlge, glenella, 4210, vic, 19740926, , 02 40548922, 3017125, 0
rec-202-dup-0, samuel, piljtq, 42, baddeley cescent, , cadca, 2358, vic, , , 02 75054216, 3398276, 0
rec-421-org,   taylah, grosvenor, 14, fizelle place, , avalon, 2680, qld, 19670102, 34, 07 24713083, 6031094, 0
rec-674-org,   james, sherriff, 471, beach place, , kedron, 3579, vic, 19770121, 32, 04 16836070, 5135927, 1
rec-525-dup-0, taylah, araujo, 35, simpson street, , dural, 3171, nv, 19380612, 30, 02 48473290, 6059077, 9
rec-757-dup-0, eliza, ryan, 424, mccarthpylace, mayflower retrmnt vlge, prosfprct, 3175, qld, 19481026, , 07 87241833, 8907318, 7
rec-1036-org,   bailey, mossman, 19, hannaford street, the market place, biggera waters, 4031, qld, 19410320, 25, 03 82826426, 8790387, 2
rec-1852-dup-0, cooper, curxj, 48, conniber erescent, , parrramqtta, 2390, wa, 19930709, 28, 04 66024355, 8060219, 2
rec-1279-dup-0, klaud, hoyked, 5, molesworth street, forestdale, cabramatta, 3860, nsw, 19031005, 24, , 9865606, 6
rec-1780-org,   trey, dearing, 14, arabana street, , yass, 4670, vic, 19770626, 24, 03 01290115, 3418541, 0
rec-492-dup-0, baiwpe, herbert, 18, gatty street, , emerald, 3555, qld, 19284121, , 02 53493675, 1356954, 8
rec-732-org,   riley, jeffries, 14, musca place, , woree, 3224, sa, 19581010, 27, 03 50470315, 3156253, 2
rec-1018-org,   mitchell, leppard, 6, , wunnamurra homestead, greenacre, 6063, , 19620902, 35, 08 56384329, 2237870, 8
rec-823-dup-0, ethan, menzeg, 310, scattergood place, lasswade, sherwole, 2904, nsw, 19190124, 32, 03 99089790, 6879172, 5
rec-1679-dup-0, dale, shephefd, 139, hagon pmace, , barwon heads, 6156, sa, 19992006, 91, 07 98139371, 6591959, 0
rec-1809-org,   kade, noble, 1, gascoyne circuit, tingara vlge, kingston, 4110, wa, 19610202, , 04 99669086, 8242698, 2
rec-670-dup-0, zara, ryah, 88, breona pace, sutton, noble park, 5049, qld, 19720122, 31, 02 31046278, 9869757, 7
rec-743-dup-0, corie, treplrgn, 9, riordan itreet, arcade byron, kempsey, 6030, nsw, 19840792, 8, , 6735631, 6
rec-1128-org,   harrison, salas, 56, pindari crescent, , eastwood, 5290, nsw, 19030721, 13, 04 35857794, 1975122, 0
rec-204-dup-0, holllb, matthews, 459, strickland crescent, , clarkson, 3072, nsw, 19560824, 92, 04 20557605, 7922844, 9
rec-307-org,   samantha, matthews, 16, dexter street, , raceview, 6018, nsw, 19001117, 30, 02 76672096, 3250552, 5
rec-1501-org,   liam, virag, 5, finniss crescent, , murphys creek, 3156, vic, , , 04 27667219, 8503930, 4
rec-1262-dup-0, pien ng, joshua, 4, brennan asytreet, , downer, 2323, vic, 19180917, 30, 08 07482583, 1409735, 5
rec-1383-org,   , bellchambers, 13, eppalock street, kookaburra village, malvern, 3047, vic, 19830921, 33, 08 16040205, 7794427, 6
rec-760-org,   lucas, boizard, 39, paroo place, delicate nobby street, campbelltown, 3042, vic, 19010902, 19, 04 14182194, 1714410, 2
rec-1341-dup-0, mitcyrll, , 131, lipscomb place, shiluvane, normanville, 5076, nssn, 19240420, 29, 02 52138136, 3665161, 1
rec-1000-org,   samuel, , 46, le gallienne street, white meadows, morwell, 3172, qld, , , 07 89755479, 7472727, 9
rec-795-dup-0, aiden, viglioeti, 6, place melsvin, , murraydbrige, 3371, , , 28, 08 43375899, 7534208, 1
rec-1314-dup-0, webb, oliviq, 38, hallen close, , kinrss, 2403, qld, 19500112, 40, 07 41989636, 2703047, 4
rec-1263-dup-0, samantha, balchain, 212, street barangaroo, , new farm, 4536, vic, 19850220, 11, 03 32069350, 1676574, 8
rec-1783-org,   aimee, coxon, 25, dolling crescent, , sefton, 6018, nsw, 19640602, 35, 07 10018455, 9086724, 5
