rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-1826-dup-0, page, reic, 7, , , ivanhoe, 2400, nsw, 19921118, 29, 03 36775318, 1185256, 1
rec-1008-org,   kaitlin, flatman, 130, platt place, doubtful ck, point cook, 5118, , 19990825, , 07 57826125, 1080862, 6
rec-1836-dup-0, emiily, imrgaben, 53, bemm place, bowan brae, wangaratmta, 2324, sq, 19351126, 34, 03 63759886, 8055945, 4
rec-1879-dup-0, harrisin, blake, 62, poole place, parish talowahl, lysterfield, 6113, nsw, , , 02 18303954, 8656797, 9
rec-1198-dup-0, mariane, reid, 52, de smte place, , wahroonga, 4871, sa, 19570615, 29, 02 33101023, 6532980, 3
rec-1465-dup-0, william, robson, 39, blackbufns treet, , springvale south, 2641, vic, 19991108, , 07 70254112, 4290657, 8
rec-1161-org,   charlotte, kiernan, 1, , kersey' south, strathdickie, 3016, wa, 19740807, 31, 02 93152060, 1346036, 2
rec-944-org,   sophie, kerley, 14, levien street, deependi, , 4561, wa, 19260209, 23, 07 48152470, 5936243, 2
rec-1727-org,   leah, morrison, 43, maribyrnong avenue, , invermay, 4858, nsw, 19211124, , 03 13048288, 7423692, 6
rec-1888-dup-0, joshua, freeborn, 10, abrahams xtescent, , warrandyte, 2061, , 19570925, 36, 07 06518543, 4023335, 2
rec-1264-dup-0, emiily, elsworth, 4, marcus clayke street, colooli village, park holme, 4659, wa, 19380402, 21, 02 71595648, 8806470, 8
rec-237-org,   mitchell, haskett, 64, julia flynn avenue, , woolgoolga, 5211, vic, 19240105, 6, 08 65346024, 6852869, 5
rec-1461-dup-0, emiiyl, ebert, 12, leonard close, mt pleasant, cremrine, 7277, vic, 19960705, , 04 00114483, 1052137, 7
rec-888-dup-0, bailwe, braunack, 4, , , bomadery, 2835, vic, 19300303, 33, 03 45053010, 6566519, 1
rec-1747-org,   chelsea, komsic, 45, badimara street, , frankston, 4069, wa, 19450117, 26, 08 46236129, 4125628, 5
rec-618-org,   christina, artis, 15, fitzhardinge crescent, , tharwa, 3052, vic, 19301024, 30, 08 45918129, 1222192, 0
rec-1368-org,   samantha, gratzis, 30, deloraine street, , ravenshoe, 6401, , 19990725, , 03 38402035, 6988875, 4
rec-156-org,   danjel, ploughman, 74, badimara street, , broken hill, 3101, sa, 19320126, , 02 01901677, 1174070, 9
rec-382-org,   cameron, crook, 84, wyles place, section, coffs harbour, 5042, qld, 19760605, , , 8544910, 0
rec-405-dup-0, sarah, callahean, 17, jensen street, , , 2650, nsw, 19313205, , 04 32797509, 3712604, 2
rec-790-dup-0, oscar, fabbro, 4, , mayflower retrmnt vlge, pearl beach, 2304, nsw, 19931063, 25, 07 40678068, 3527188, 8
rec-124-dup-0, brozek, , 19, chandler zstreet, fairburn park, parkinson, 2089, nsw, 19280827, 30, 02 14762419, 9308355, 1
rec-186-org,   takeisha, liddy, 75, edwards street, , melville, 4516, nsw, 19850813, 10, 04 05263937, 9203886, 0
rec-1931-dup-0, jamillq, serrels, 6, derrington crescent, , shorewell, 2777, sa, 19021918, 32, 03 16138825, 1318892, 5
rec-1554-org,   aidan, novak, 38, adcock place, , toowong, 2905, nsw, 19891113, 34, 02 76617592, 6393242, 1
rec-1487-org,   emiily, noble, 7, mckillop circuit, tourist park, carine, 3162, qld, 19671227, 28, 08 57888231, 3964236, 0
rec-837-org,   mia, tiller, 1, lyttleton crescent, rsd frareen, springvale south, 2153, qld, 19050727, 23, 08 87060711, 6157473, 8
rec-1407-dup-0, karli, hage, 2, colebatchzplace, cosy corner, mill park, 3192, , 19381114, 24, 04 12716219, 5551666, 1
rec-133-org,   jaiden, thorpe, 89, chapman street, camden, ascot vale, 3137, wa, 19500323, 32, 02 75422874, 3244839, 6
rec-1214-dup-0, monique, sherriff, 173, perrin circuit, , auburn, 4207, nsw, , 32, 07 61477855, 5276189, 2
rec-1268-dup-0, shandril, wheatley, 100, marawa place, , malvern east, 2251, sa, 19350720, 33, 03 79403244, 6641410, 9
rec-668-org,   eliza, matthews, 49, hawkins close, glenbach, the rock, 3143, wa, 19710323, 25, 03 78079391, 9295551, 0
rec-25-dup-0, xavier, stanley, 21, jackie howe vrescent, kersley mews, st albans, 2259, vic, 19200609, 11, 03 36429588, 4475637, 7
rec-140-dup-0, kate, green, , heagney crescent, glenview, millgrove, 2084, vif, 19370802, 29, 03 68268704, 7253465, 1
rec-1794-org,   natalia, houlson, 21, stanley street, , jindalee, 4017, act, 19531130, , 08 66350905, 2178425, 2
rec-496-org,   richard, keany, 470, birrell street, , kempsey, 5290, nsw, 19320318, , 07 21219055, 6765091, 3
rec-164-dup-0, eleanor, nguyen, , western hkol street, wdgee street, modbury, 2038, vic, , 35, 04 02667522, 3430293, 3
rec-1104-dup-0, ellen, glass, 37, tarraleah crescent, , grenewood, 4650, nsw, 19610726, , 08 35042189, 2455423, 3
rec-1536-dup-0, kobe, sesewrsj, 19, prout place, , mount eliza, 6160, qlk, , , 02 16267648, 7904357, 8
rec-894-dup-0, isaac, reid, 76, affleck place, , scarborough, 4103, vic, 19340123, 35, 08 13196015, 1399192, 0
rec-550-org,   angelina, hobson, 10, chevalier street, , windsor, 5086, , 19710813, 34, 07 14384389, 8789650, 3
rec-19-dup-0, nguyen, isabella, 267, riverbourne, healy street, st albans, 2096, vic, , 10, 03 31367356, 1280438, 3
rec-1902-dup-0, , plane, 54, leahy close, , greenkood, 3132, nsw, 19790101, 25, 08 22570209, 7829797, 5
rec-1454-dup-0, lily, ryab, 23, close farrelly, , port macquarie, 2037, nsw, , 30, 08 87324225, 3782637, 0
rec-536-org,   georgia, noble, 21, , , port macquarie, 3174, vic, 19970725, , 08 84348189, 4254033, 7
