rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-1025-dup-0, rileo, matthedws, 13, glynnstredt, dudley specialist medical centre, devoyport, 5021, qld, 19660430, 38, 04 44244326, 3047305, 6
rec-681-dup-0, lachlan, paschalis, 14, strachan place, villa 2, daw park, 2207, vic, 19330197, 29, 03 15855753, 9547679, 3
rec-1778-dup-0, tahqlia, schhwe, 42, phillip avenue, , loveday, 3810, nsw, 19910901, 31, 08 58346700, 3064781, 9
rec-508-org,   matilda, spears, 9, teague street, , rye, 3805, vic, 19420312, 34, 04 69024499, 2278088, 1
rec-312-dup-0, sophie, goldswfothy, 627, stretton crescent, , newcastle, 3141, wa, 19180916, 24, 03 39803378, 3101561, 1
rec-1160-dup-0, kylee, ryan, 16, , rp 31513, dianella, 2279, qld, 19242027, 34, 03 67774366, 3750854, 8
rec-1000-dup-0, jessica, morruson, 59, waite steeet, court units, duaringa, 5096, qld, 19861208, 10, 07 62788891, 6356817, 6
rec-136-org,   tara, sherriff, 23, bindel street, , clayton, 4701, vic, 19110621, 38, 02 41016925, 8576028, 7
rec-104-org,   shelbey, soden, 3, cochrane crescent, gabbalodge, trafalgar, 7248, sa, 19790319, 27, 03 45425556, 3359092, 2
rec-1317-org,   wade, mekler, , antis street, , gawler east, 2800, nsw, 19080225, , 02 86358347, 7324299, 5
rec-1226-org,   oliver, musolino, 8, tregellas crescent, , wangaratta, 6010, vic, 19300222, 27, 03 13612008, 3527570, 3
rec-1468-dup-0, donaldson, kaitlyn, 0, colquhoun street, peridon vlge, mount riverview, 6083, nsw, 19420720, , 04 44100127, 3251356, 9
rec-389-org,   mikayla, nguyen, 47, nagara street, willandra, wendouree, 0810, nsw, 19100727, 19, 03 87559790, 9996826, 3
rec-1949-org,   abii, shepherd, 55, la trobe close, , denmark, 3280, nsw, 19671107, 34, 02 28372279, 2085594, 1
rec-1029-org,   jesse, hammer, 6, dominion circuit, , yarraman, 2150, nsw, 19841103, , 07 57121017, 5409344, 3
rec-535-org,   isabelle, tapper, 864, hardman street, , killawarra, 4169, nsw, 19980705, 33, 03 50183677, 3034742, 5
rec-406-dup-0, mitchell, paulsen, 275, golden grove, ondyong point, colac, 3184, qle, 19600223, 12, 03 25706955, 6868495, 5
rec-1776-org,   jordan, crouch, 101, wilsmore crescent, minora, wangi wangi, 5607, vic, 19601125, 23, 03 94907418, 1395600, 6
rec-1996-org,   emma, bristow, 42, belconnen way, , woodville park, 3199, act, 19620125, , 03 91191410, 8188398, 9
rec-1701-org,   erin, cartmel, 294, jemalong street, , wentworth, 4102, nsw, 19831031, 26, 03 91963620, 8413348, 1
rec-173-org,   michael, soulsby, 31, kangaroo court, shadell, chittaway bay, 5159, tas, 19390605, 30, 03 47355292, 2086824, 1
rec-808-org,   joshua, blake, 7, canning street, kincumber nautical vlge, wanneroo, 6056, sa, 19380522, 10, 03 15986336, 2276627, 4
rec-1485-dup-0, phoebe, garcia, 180, robson street, , , 2226, vid, 19430419, , 03 87676620, 7119189, 7
rec-1854-dup-0, jessica, clsrke, 38, tanji loop, , 4850, berwcik, vic, 19080126, 9, 04 88717446, 8653184, 3
rec-888-dup-0, ethan, kalogeras, 63, rosebery street, , , 2612, n, 19170829, 53, 07 88073437, 8756681, 8
rec-1504-dup-0, olli, brushe, 27, tytherleigh street, , northbridge, 5108, nsw, 19520750, 35, 07 43904943, 7172207, 9
rec-927-org,   latham, campbell, 19, parsons street, merino downs rmb 1194, werrington, 2065, nsw, , 32, 02 44819909, 3768572, 7
rec-747-dup-0, jan, jordan, 18, donaldson street, brackengrae, bribie island, 5031, vic, 19939516, 28, 03 04718252, 2823922, 9
rec-1499-dup-0, micah, campbell, 85, albermare place, , coober pedy, 2776, , 19040308, 72, 02 13760899, 1428196, 3
rec-1895-org,   erin, wahlstedt, 5, symers street, the sarina centre, burpengary, 2291, vic, 19840830, 35, , 3225342, 5
rec-1189-org,   dante, priddin, 16, vansittart crescent, , mckees hill, 3153, sa, 19890215, 39, 02 81407591, 4161859, 8
rec-1712-org,   jasmine, jolly, 56, marungal avenue, , hamilton, 2518, , 19400508, 21, , 2476606, 5
rec-744-org,   lara, reinmuth, 56, mcbride place, bayview towers, beachlands, 4069, nsw, 19151218, 32, 03 37994853, 1826402, 6
rec-779-org,   emiily, parken, 50, bullock circuit, , tuart hill, 7250, qld, , 38, 04 71163368, 9271484, 6
rec-1723-org,   cade, rudd, 3, florence taylor street, , maryborough, 3909, nsw, 19980413, 31, 07 17767852, 4396585, 3
rec-15-dup-0, fimeri, claudia, 4, marshall street, , bayswater, 6701, nsq, 19490129, 36, 03 90610580, 5835655, 9
rec-262-org,   riley, ayres, 8, fisk street, , wynyard, 4303, wa, 19411110, 40, 02 22359157, 4281001, 1
rec-1951-org,   liam, godfrey, 11, allitt place, , milperra, 3193, nsw, 19001016, 12, 03 72210094, 7135909, 4
rec-367-org,   richard, clarke, 20, hammond close, killarloo, boggabri, 2530, qld, 19010913, 32, 08 98620990, 5346211, 6
rec-378-dup-0, jasmine, burfpd, 4, burdekin avenue, , hillwide, 3153, qld, 19990729, , 02 36701052, 3787617, 3
rec-746-org,   mia, matthews, 1, lewin street, sheep station, summer hill, 3465, qld, 19600924, 3, 07 16403246, 3508462, 1
rec-1893-org,   nathan, oats, 6, dugdale street, rosehill, blacktown, 2534, wa, , 21, 08 02144144, 9548746, 9
rec-679-org,   andrew, gillard, 98, rule street, shalvah, cremorne, 2166, nsw, 19940518, 35, 07 53858534, 4751287, 2
rec-807-org,   hamish, rook, 64, enright crescent, on river, niagara park, 3823, vic, 19370511, 32, 04 10481973, 4258871, 7
rec-278-org,   kristen, hage, 58, outtrim avenue, st francis vlge, burrell creek, 3123, qld, 19690910, 38, 04 81841128, 8495217, 0
rec-1453-dup-0, jessica, ho, 39, sturdee crdscent, kashima, tingalpa, 2131, tas, 19330603, 23, 07 91267893, 3698188, 1
rec-15-org,   claudia, fimeri, 6, marshall street, , bayswater, 6701, nsw, 19490129, 36, 03 90610580, 5835655, 9
rec-209-org,   emiily, fitzpatrick, 104, investigator street, , smithfield, 4370, vic, 19030503, 32, 02 40545458, 5629772, 4
rec-638-dup-0, jaik, rees, 80, clancy street, , daylseford, , nsw, 19360731, 39, 03 50128274, 6295253, 5
rec-549-org,   oscar, kotsomitis, 15, cotton street, , east melbourne, 0870, qld, , 35, 08 41803829, 6224970, 5
rec-453-org,   madeline, reid, 20, tregear close, chateau royale, coffs harbour, 5061, vic, 19560704, 9, 07 45410261, 9032561, 0
rec-1448-org,   brooke, vaile, 11, cutlack street, mlc centre, condell park, 4209, vic, 19230522, 37, 07 35711493, 8655612, 6
rec-1669-dup-0, tyler, harribmton, 55, bainton crescent, , mannering park, 4163, nsw, 19640711, 32, 08 31154021, 5721008, 6
rec-1035-org,   ethan, wanambi, 44, southwell street, ardess, smithfield, 6062, vic, 19540331, 26, 07 11857172, 6295513, 7
rec-304-dup-0, isabella, wheatley, 4, chinner crescent, village nuffield, st ives, 3137, qld, 19360127, 21, 08 94552432, 4156698, 3
rec-1991-dup-0, sienna, waller, 453, maclean tsreet, , bulart, 5052, wa, 19315230, 26, 04 54597841, 1119216, 9
rec-69-dup-0, elxse, bernardo, 19, gorrie close, villa 2, cardiff, 6023, qld, 19720910, , 08 96815978, 9009774, 1
rec-292-dup-0, lachlan, sherrtkff, 11, banfield street, , campsie, 3355, nsw, 19790824, 36, 02 33743806, 9132816, 5
rec-874-org,   tai, matthews, 47, de burgh street, , urangan, 2541, vic, 19900217, 28, 02 09855722, 3259073, 0
rec-333-dup-0, ke, angerson, 38, baracchi crescent, , bayswater, 3941, nsw, 19220322, 72, 08 92419610, 8896949, 0
rec-1173-org,   monique, bivone, 5, , polynesian village, mermaid waters, 4810, qld, , 32, 02 03869138, 5348154, 1
rec-1402-org,   abbey, laundon, 18, dugdale street, the willows, giralang, 2086, vic, 19510530, 37, 07 19722310, 8056975, 7
rec-1640-org,   kiana, rees, 10, stow place, , wyongah, 7030, vic, , 34, 02 94768773, 2939356, 5
rec-1089-dup-0, alexandra, pignalooa, 11, la perouse street, cottonwood, kingsford, 3065, qod, 19131023, 34, 08 70095059, 5754037, 3
rec-1810-org,   benjamin, wyllie, 18, inlander crescent, , st kilda east, 4570, nsw, 19020701, 35, 08 96898960, 7285116, 8
rec-513-org,   will, honeychurch, 343, tazewell circuit, , sanctuary point, 3187, wa, , , 08 43325223, 5417823, 2
rec-922-dup-0, san, willig, 1, candlebark close, , mount evtlyn, 4214, qld, 19570507, 8, 08 84908627, 1958659, 6
rec-1338-org,   rebecca, webb, 364, hingston close, , pakenham, 2644, nsw, 19340821, 35, 04 12605944, 9555591, 5
rec-1971-dup-0, miller, dietrich, 166, banks sreet, , cherrbrook, 2558, , 19170416, 82, 07 64008437, 8708151, 4
rec-1045-org,   cameron, everett, 7, blamey crescent, , vincent, 2198, sa, 19580927, 8, 04 59329112, 6140067, 1
rec-133-dup-0, bradley, gaspin, 22, guilfoyle street, , , , wq, 19010727, 25, 07 72191916, 6804352, 9
rec-805-dup-0, tod, green, 21, champion olace, , mittagong, 3037, , 19890429, 37, 07 66457570, 1557264, 2
rec-1819-org,   charles, hanna, 39, yamba place, , clayton, 5000, nsw, 19950623, 21, 07 64447892, 1325500, 8
rec-2-dup-0, livib, oheqrn, 50, marshall street, prospect creek, birkdale, 3195, tas, 19691229, 26, 07 79132522, 5204808, 8
rec-1410-org,   lucy, warrior, 15, kosciusko avenue, , leichhardt, 3122, nsw, 19260226, 32, 04 63770805, 7648599, 4
rec-691-org,   sophie, harrington, 33, furneaux street, , camden, 4069, nsw, 19040206, 27, 07 95425484, 3833270, 9
rec-1973-org,   zachary, steinert, , marshall street, , charlestown, 2076, qld, 19070505, , 07 06118248, 7813747, 0
rec-839-org,   hollie, white, 131, len waters street, , ballarat, 2463, vic, 19640909, 26, 07 96456582, 4409533, 2
rec-1731-dup-0, james, byryan, 2, kellick pace, , homebush, 2299, vic, 19141220, 28, 02 05814773, 5015412, 8
rec-329-dup-0, logan, georgkos, 2, academy close, , blacksrcok, 4517, qld, , 22, 07 25920256, 1325133, 0
rec-1302-org,   giuliana, painter, 15, gillen street, , rosebud, 4035, nsw, 19550618, 23, 03 17634343, 4504217, 4
rec-540-dup-0, richard, rushby, 75, sherwoodcteircuit, , port lincoln, 6725, act, 19490081, , 08 73245671, 6665029, 9
rec-1010-dup-0, jackson, nguyen, 36, groveland crescent, willandra, cairns, , nsa, 19670814, 11, 03 08841789, 5436775, 7
